Epoch,Average_Loss
1,4.66350130139706
2,4.663190857670148
3,4.6628774737755485
4,4.662557831569851
5,4.6622285536894434
6,4.661886032442457
7,4.661526464974633
8,4.66114576526612
9,4.660739721448607
10,4.6603030110535295
11,4.659830644905621
12,4.6593162229374325
13,4.658753106381785
14,4.658133791762044
15,4.6574488077726555
16,4.656689298063339
17,4.6558426624578875
18,4.654897286610377
19,4.653837487241539
20,4.652646753846646
21,4.651305775772193
22,4.649791194517765
23,4.64807936022756
24,4.646140244172217
25,4.643940447518338
26,4.641441396461556
27,4.638602238807505
28,4.635367905445359
29,4.631684626994631
30,4.627494308480782
31,4.622720152100502
32,4.617288131361431
33,4.611101139772568
34,4.604076592720465
35,4.596104982824558
36,4.587091868923817
37,4.57691361315474
38,4.56548902883045
39,4.55272192099543
40,4.5385484078470855
41,4.522998103027358
42,4.506046391979018
43,4.487810247794633
44,4.468405558655044
45,4.447960892017203
46,4.426357070687965
47,4.403682923073254
48,4.379710328787317
49,4.354327214420192
50,4.327426351948729
51,4.298992697645543
52,4.268991393533955
53,4.237446844637731
54,4.204797405025671
55,4.170817635205652
56,4.135916037109616
57,4.100333277032401
58,4.064239610280279
59,4.027889131224937
60,3.991590363146385
61,3.9555068910704
62,3.9196872205746054
63,3.884152195878434
64,3.8489728335950892
65,3.814109643836694
66,3.779578848667679
67,3.745056715952387
68,3.711036484326601
69,3.676822190232548
70,3.6433660377442583
71,3.6098071580330435
72,3.5765522732287525
73,3.5435674088341713
74,3.510534849378002
75,3.4784785144128425
76,3.4463549003710106
77,3.414525096757372
78,3.3831305293781906
79,3.352180338378243
80,3.3219449503326084
81,3.291591959525
82,3.261976896177626
83,3.2329757589627035
84,3.2043482953784466
85,3.1763277229037112
86,3.148701678050286
87,3.121491705189905
88,3.095157015165965
89,3.0692970758704763
90,3.0439700612408793
91,3.019102891731002
92,2.9948747077819546
93,2.9710076058557227
94,2.948164431659954
95,2.9256532439424157
96,2.9035545136330274
97,2.88179149557269
98,2.8611417949385016
99,2.8407560518861263
100,2.8208706871364657
101,2.8015722794424747
102,2.782820006838132
103,2.764520637178815
104,2.746735910241242
105,2.729840360843436
106,2.713081253306183
107,2.696722294391292
108,2.68135026785068
109,2.666024834225075
110,2.6511280715590293
111,2.636587557058306
112,2.622912383565523
113,2.609295703298358
114,2.5960295828300475
115,2.583375042338499
116,2.5708294595248873
117,2.5590716583650788
118,2.547512320273935
119,2.535941252091376
120,2.5246753237791086
121,2.5143665603241514
122,2.5039315880428723
123,2.493640992034558
124,2.484052591746303
125,2.474604155844481
126,2.465087305942702
127,2.4561676671347263
128,2.4474170109391156
129,2.438887906552214
130,2.4306898672882116
131,2.422853141850196
132,2.4146537216804553
133,2.4070535931916828
134,2.399989351888776
135,2.392712524879522
136,2.3858595572180255
137,2.3789344391857044
138,2.3723741528006665
139,2.366275015265886
140,2.3598242839625163
141,2.353964903634763
142,2.347901656047806
143,2.342469119367041
144,2.3368106763525933
145,2.331621338162713
146,2.3265181790210008
147,2.3215044463381003
148,2.3163129042979387
149,2.3116391295632925
150,2.307404054533218
151,2.302867008170119
152,2.2981120072586343
153,2.2937125895822255
154,2.2903827039495286
155,2.2854698744948876
156,2.281936106312916
157,2.2786360552273814
158,2.274438014282432
159,2.2711082120827957
160,2.2679567089445203
161,2.2640826208995755
162,2.260944494902596
163,2.25783468625096
164,2.2548243480735795
165,2.2516923112475813
166,2.249212977815076
167,2.2459751402401147
168,2.243493793053564
169,2.2406506759443094
170,2.2384534569108783
171,2.2356401091295366
172,2.233542961791637
173,2.231042005661997
174,2.2288910648997953
175,2.2269765422443952
176,2.224957091609467
177,2.2228535321872287
178,2.2202508207069975
179,2.21866020245139
180,2.216338616534489
181,2.2153501343318
182,2.2132219157120314
183,2.211839575887991
184,2.2100534909812217
185,2.2083502012466503
186,2.2068149002648685
187,2.2054987655512828
188,2.2042721219170707
189,2.202860772738157
190,2.2012307003979483
191,2.199759206641122
192,2.198786032243997
193,2.1974115878911076
194,2.1967975891682414
195,2.1952612819961606
196,2.1939914207487963
197,2.192878511404741
198,2.192528352223099
199,2.190622224392913
200,2.1905770396652184
201,2.1888776103929914
202,2.188123429490688
203,2.187296226656095
204,2.1862931640546583
205,2.1860890104027333
206,2.1846299160338583
207,2.1841201675386883
208,2.182954354375347
209,2.182381141803581
210,2.1822333441880954
211,2.181329396165284
212,2.180753718639806
213,2.179908385993515
214,2.1786762173958163
215,2.1781882064448053
216,2.1775108864902806
217,2.1776313091442168
218,2.1764809728153502
219,2.176323674012568
220,2.175951444393674
221,2.175407062486055
222,2.1744973030506873
223,2.1737435090010275
224,2.173062491545787
225,2.1735605032667156
226,2.1729452255718624
227,2.17202395081603
228,2.1718113046521634
229,2.171635054394101
230,2.1713182215785407
231,2.17058380809535
232,2.170171852570289
233,2.1700273535511654
234,2.169356702351213
235,2.169087845606528
236,2.168468932134856
237,2.168762631148318
238,2.168134467181087
239,2.1679099788676868
240,2.16749420908562
241,2.16728428571387
242,2.1666375349145466
243,2.1662155668712835
244,2.165569110382526
245,2.1659850047405715
246,2.16555587090247
247,2.1655550479266883
248,2.165136127630038
249,2.16517019093353
250,2.164358315213466
251,2.164051847980141
252,2.1639045636093983
253,2.162896996016784
254,2.163795982109535
255,2.1634693424568305
256,2.1627825213043916
257,2.163330006786652
258,2.162739538816789
259,2.1625629240314095
260,2.162515585634804
261,2.16176860013158
262,2.1617716677899845
263,2.1619235129302585
264,2.1617522275186722
265,2.160772925272678
266,2.1612136504925994
267,2.1610546906072137
268,2.1608896584946504
269,2.1606836809094556
270,2.15996574587622
271,2.1602829149228233
272,2.160331037539255
273,2.159966409706106
274,2.1601357061909647
275,2.158903705997468
276,2.1596264467767856
277,2.1598444007503543
278,2.15924355556486
279,2.158916952506002
280,2.1592717465819526
281,2.1581268766743
282,2.1589501692261535
283,2.158336087167093
284,2.157650031716094
285,2.1585902462314612
286,2.1573620275896737
287,2.1577106500349137
288,2.1576555374186457
289,2.1581251997514124
290,2.1578469295339535
291,2.1573810793342583
292,2.15714988961738
293,2.1577374461291967
294,2.156598150913167
295,2.1575660576904716
296,2.1568323548222756
297,2.157356284287136
298,2.156568271413717
299,2.1567177542880245
300,2.156453981612387
301,2.156546508506862
302,2.1561268369674655
303,2.156527631490141
304,2.155804970477503
305,2.1563767946914534
306,2.1558708672193765
307,2.15602473801499
308,2.15588856839518
309,2.155486648841828
310,2.1557213658699856
311,2.155834937352899
312,2.155714515324649
313,2.1557147194037176
314,2.155703656558539
315,2.155618004521795
316,2.155173506124829
317,2.1547839700683067
318,2.1553116092991083
319,2.155400486376764
320,2.155070552836206
321,2.1549024718018304
322,2.1552359606786995
323,2.155008517571823
324,2.1548044647195868
325,2.155028541488082
326,2.154658252854388
327,2.1546557781289235
328,2.1539932106094737
329,2.1543521772230885
330,2.1546280986607393
331,2.1538046320095114
332,2.154910812287797
333,2.15402355268109
334,2.154143664922793
335,2.1542461432468594
336,2.1540384456130055
337,2.1542624223968674
338,2.1538929613375375
339,2.153441526079796
340,2.1533348515619726
341,2.1539217617773585
342,2.153709681548407
343,2.152984330309259
344,2.1534732243949075
345,2.153353896219254
346,2.153997552529087
347,2.1540905138306314
348,2.1530481981702785
349,2.1531232211346465
350,2.153674282669985
351,2.1527575311657547
352,2.1530227583205934
353,2.152602570323197
354,2.153390421451794
355,2.153232846143266
356,2.1529138690149607
357,2.1532108427832735
358,2.153199198486534
359,2.152785451156278
360,2.1525087666633964
361,2.152513433569207
362,2.1530430236588947
363,2.152641967611803
364,2.1525230995751508
365,2.152731512218579
366,2.152594177641421
367,2.15273661201718
368,2.1525548807025956
369,2.1530677139419385
370,2.152259816271192
371,2.1525887076740315
372,2.1523025535749234
373,2.151693718211933
374,2.1523772724519175
375,2.151850882194222
376,2.151684949015274
377,2.151557402449103
378,2.152484087349933
379,2.1520988864556183
380,2.151960672325111
381,2.1517750350891056
382,2.1519302028146843
383,2.151359226243744
384,2.151826323376646
385,2.151002378195826
386,2.151828774639819
387,2.15232011158512
388,2.1515405515946187
389,2.1519891502877524
390,2.1518935593358197
391,2.1510150673894053
392,2.152398207523313
393,2.151656348363486
394,2.1516318121721794
395,2.1516217029654565
396,2.151752908737287
397,2.1513417251522235
398,2.151728753275933
399,2.1515554109056945
400,2.1517177192862027
401,2.152174087890548
402,2.1511850517050655
403,2.1513093907177585
404,2.151651633398989
405,2.1509816312953234
406,2.151079322308301
407,2.1513619733525635
408,2.1511713804885404
409,2.151416964788185
410,2.1515277164693103
411,2.1504971356500278
412,2.1512366603065987
413,2.15082806765981
414,2.151548953456534
415,2.151371822403455
416,2.15114073065636
417,2.1500365484015784
418,2.1509230318640378
419,2.1513828388356084
420,2.1506827225962466
421,2.1508937366407763
422,2.1515355027870715
423,2.150195271848144
424,2.150787576037987
425,2.150901381657226
426,2.151593202359722
427,2.1514578531488047
428,2.1507649627459107
429,2.1513659806244005
430,2.150548139893783
431,2.150355502848597
432,2.150755145390534
433,2.151375018062194
434,2.1504288819464192
435,2.150618032763905
436,2.150050188098267
437,2.1500962797158225
438,2.1502232941538457
439,2.150908910714131
440,2.1507839624889526
441,2.150701021855851
442,2.1507224095649207
443,2.1506253599209386
444,2.1505865939698796
445,2.1503643745637877
446,2.1499600794113323
447,2.1493708299237357
448,2.1501327982852243
449,2.1511016755509256
450,2.150706776770396
451,2.1495353387107583
452,2.1503387574754735
453,2.150656872559905
454,2.150695112449767
455,2.1497868469408243
456,2.150022219614618
457,2.1504169703091196
458,2.151122275093899
459,2.150236256295457
460,2.1499697591233877
461,2.150468948182102
462,2.1505570899837885
463,2.150575709797598
464,2.1503341437277728
465,2.150153906863579
466,2.1502893930985993
467,2.150114910601382
468,2.1501680578273072
469,2.150456582143179
470,2.151008912136936
471,2.1502463853184213
472,2.1504910900842487
473,2.150004661264616
474,2.149911469816456
475,2.149866348862079
476,2.1499203314471487
477,2.1492814829654328
478,2.150245119472669
479,2.1499988547817015
480,2.1501065303370903
481,2.150048426127133
482,2.1504002247706917
483,2.1498417098049045
484,2.150256087197356
485,2.150316360768828
486,2.150162429313984
487,2.149908060553075
488,2.149529129291805
489,2.150470554367616
490,2.149347665844976
491,2.1502681866454534
492,2.148758726990264
493,2.1501832700657184
494,2.149599312381729
495,2.1497363996142194
496,2.1494686691778515
497,2.1493754477352924
498,2.149870368370092
499,2.14927517856697
500,2.150041237492103
